sprint,team,label,final teammate type
P1,t01,S1.2,couch potato
P1,t01,S1.1,couch potato
P1,t01,S1.5,good teammate
P1,t01,S1.4,good teammate
P1,t02,S2.4,good teammate
P1,t02,S2.3,good teammate
P1,t02,S2.5,good teammate
P1,t02,S2.6,good teammate
P1,t02,S2.1,couch potato
P1,t02,S2.2,couch potato
P1,t03,S3.1,good teammate
P1,t03,S3.2,good teammate
P1,t03,S3.4,good teammate
P1,t03,S3.5,good teammate
P1,t03,S3.3,good teammate
P1,t04,S11.6,couch potato
P1,t04,S8.6,lone wolf
P1,t04,S18.6,lone wolf
P1,t04,S19.6,lone wolf
P1,t04,S1.6,lone wolf
P1,t05,S5.4,good teammate
P1,t05,S5.1,couch potato
P1,t05,S5.2,couch potato
P1,t05,S5.3,good teammate
P1,t05,S5.5,couch potato
P1,t06,S6.1,couch potato
P1,t06,S6.5,good teammate
P1,t06,S6.2,good teammate
P1,t06,S6.4,good teammate
P1,t06,S6.3,hitchhiker
P1,t07,S7.5,couch potato
P1,t07,S7.1,good teammate
P1,t07,S7.3,couch potato
P1,t07,S7.2,good teammate
P1,t07,S7.4,lone wolf
P1,t08,S8.5,couch potato
P1,t08,S8.1,lone wolf
P1,t08,S8.4,good teammate
P1,t08,S8.2,couch potato
P1,t08,S8.3,lone wolf
P1,t09,S9.1,good teammate
P1,t09,S9.3,couch potato
P1,t09,S9.4,couch potato
P1,t09,S9.6,good teammate
P1,t09,S9.2,good teammate
P1,t09,S9.5,good teammate
P1,t10,S10.2,hitchhiker
P1,t10,S10.4,good teammate
P1,t10,S10.1,good teammate
P1,t10,S10.5,good teammate
P1,t10,S10.3,couch potato
P1,t11,S11.4,good teammate
P1,t11,S11.5,good teammate
P1,t11,S11.3,good teammate
P1,t11,S11.1,hitchhiker
P1,t11,S11.2,good teammate
P1,t12,S12.4,good teammate
P1,t12,S12.5,good teammate
P1,t12,S12.3,good teammate
P1,t12,S12.1,couch potato
P1,t12,S12.2,good teammate
P1,t13,S13.4,good teammate
P1,t13,S13.3,good teammate
P1,t13,S13.5,good teammate
P1,t13,S13.2,couch potato
P1,t13,S13.1,good teammate
P1,t14,S14.1,good teammate
P1,t14,,good teammate
P1,t14,S14.2,good teammate
P1,t14,S14.5,good teammate
P1,t14,S14.4,hitchhiker
P1,t14,S14.3,good teammate
P1,t15,S15.4,good teammate
P1,t15,S15.1,hitchhiker
P1,t15,S15.2,lone wolf
P1,t15,S15.3,good teammate
P1,t15,S15.5,good teammate
P1,t16,S16.2,good teammate
P1,t16,S16.5,good teammate
P1,t16,S16.3,couch potato
P1,t16,S16.4,good teammate
P1,t16,S16.1,good teammate
P1,t17,S17.4,couch potato
P1,t17,S17.3,good teammate
P1,t17,S17.5,good teammate
P1,t17,S17.1,lone wolf
P1,t17,S17.2,good teammate
P1,t18,S18.3,couch potato
P1,t18,S18.5,good teammate
P1,t18,,good teammate
P1,t18,S18.4,couch potato
P1,t18,S18.1,good teammate
P1,t19,S19.3,couch potato
P1,t19,,good teammate
P1,t19,S19.1,good teammate
P1,t19,S19.4,good teammate
P1,t19,S19.2,good teammate
P1,t19,S19.5,good teammate
P1,t20,S20.2,good teammate
P1,t20,S20.3,good teammate
P1,t20,S20.1,good teammate
P1,t20,S20.4,good teammate
P1,t20,S20.6,good teammate
P1,t20,S20.5,good teammate
P1,t21,S21.2,good teammate
P1,t21,S21.4,good teammate
P1,t21,S21.1,good teammate
P1,t21,S21.3,good teammate
P1,t21,S21.5,good teammate
P1,t22,S22.3,good teammate
P1,t22,S22.2,lone wolf
P1,t22,S22.4,good teammate
P1,t22,S22.5,lone wolf
P1,t22,S22.1,lone wolf
P1,t23,S23.6,good teammate
P1,t23,S23.2,couch potato
P1,t23,S23.4,couch potato
P1,t23,S23.1,good teammate
P1,t23,S23.5,good teammate
P1,t23,S23.3,good teammate
P1,t24,S24.2,good teammate
P1,t24,S24.4,good teammate
P1,t24,S24.5,good teammate
P1,t24,S24.1,good teammate
P1,t24,S24.3,hitchhiker